,,,,,,,,,,,,,,
,,Android TV 기본 기능 테스트 TC,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,No.,Title,Depth,,,Precondition,Step,Expected Result,P,TV,자동화 가능 여부,Policy,JIRA-Key,테스트케이스명 / 그룹화 파일명
,,앱 실행,OS 홈,앱,-,앱 설치,[SOOP] 앱 실행,인트로 화면 로고 및 프로그래스 바 노출,,PASS,X,,,test_01_app_launch.py :: test_SOOP__앱_실행
,,,,,,,,앱 메인 화면 진입,,PASS,O,,,test_01_app_launch.py
,,,,,,,,리스트 로딩간 스켈레톤 UI 노출,,PASS,O,,,test_01_app_launch.py
,,,,,,,,홈 메뉴 - 선호 LIVE 섹션 첫 번째 썸네일 포커스 (첫 화면),,PASS,O,,,test_01_app_launch.py
,,로그인,LNB,로그인,-,-,[QR코드 스캔 후 완료] 버튼 클릭,QR코드 스캔 후 버튼을 클릭하라는 안내 얼럿 노출,,PASS,X,,,test_02_login_logout.py :: test_QR코드_스캔_후_완료__버튼_클릭
,,,,,,,└ [확인] 버튼 클릭,안내 얼럿 닫히며 별도 액션 없음,,PASS,O,,,test_02_login_logout.py :: test_확인__버튼_클릭
,,,,,,모바일 디바이스 준비,모바일 디바이스로 QR코드 스캔,모바일 앱에서 QR코드 로그인 완료 얼럿 노출,,PASS,X,스캔 후 완료 버튼 누르지 않아도 자동으로 로그인되게 정책 변경,,test_02_login_logout.py :: test_모바일_디바이스로_QR코드_스캔
,,,,,,,QR코드 스캔 후 대기,로그인 완료 토스트 메시지 노출,,PASS,X,,,test_02_login_logout.py :: test_QR코드_스캔_후_대기
,,,,,,,,로그인한 계정 프로필 / 닉네임 / ID 노출,,PASS,O,,,test_02_login_logout.py
,,,,,,,,로그아웃 버튼 노출 및 포커스,,PASS,O,,,test_02_login_logout.py
,,,LNB,내 프로필,-,-,[로그아웃] 버튼 클릭,로그아웃 컨펌 얼럿 노출,,PASS,O,,,test_02_login_logout.py :: test_로그아웃__버튼_클릭
,,,,,,,└ [취소] 버튼 클릭,로그아웃 컨펌 얼럿 닫히며 별도 액션 없음,,PASS,O,,,test_02_login_logout.py :: test_취소__버튼_클릭
,,,,,,,└ [확인] 버튼 클릭,로그아웃 완료 토스트 메시지 노출,,PASS,O,,,test_02_login_logout.py :: test_확인__버튼_클릭
,,,,,,,,홈 메뉴 - LIVE 섹션 첫 번째 썸네일 포커스 (첫 화면),,PASS,O,,,test_02_login_logout.py
